"model","Npar","centered","normal","jags","stan.nuts","stan_re"
"growth",16,"centered","normal",74.25,10.32,0.14
"growth",26,"centered","normal",40.85,5.47,0.13
"growth",106,"centered","normal",8.31,17.96,2.16
"growth",206,"centered","normal",4.21,7.72,1.83
"growth_nc",16,"noncentered","normal",44.01,46.56,1.06
"growth_nc",26,"noncentered","normal",37.16,155.5,4.18
"growth_nc",106,"noncentered","normal",5.33,25.67,4.82
"growth_nc",206,"noncentered","normal",2.81,13.07,4.65
"growth_nct",16,"noncentered","student-t",38.8,118.2,3.05
"growth_nct",26,"noncentered","student-t",25.37,99.58,3.93
"growth_nct",106,"noncentered","student-t",4.33,15.13,3.49
"growth_nct",206,"noncentered","student-t",2.21,6.96,3.15
"growth_t",16,"centered","student-t",39.11,83.12,2.13
"growth_t",26,"centered","student-t",27.82,47.5,1.71
"growth_t",106,"centered","student-t",5.53,15.18,2.75
"growth_t",206,"centered","student-t",2.24,6.44,2.88
