"model","max.cor","median.cor"
"growth",0.88835953350476,0.304960440596464
"growth_nc",0.876707809798408,0.0349130537768373
"mvnc",0.968296662669641,0.968296662669641
"mvnd",0.627420621308798,0.402739853961267
"redkite",0.826617978550497,0.0976052462539155
"ss_logistic",0.962307587645738,0.0635428163325863
"ss_logistic_nc",0.961214219413037,0.0416137109563812
"swallows",0.90424554564327,0.0299372407242086
"swallows_nc",0.808870258518553,0.0252622730350982
"wildflower",0.964368524483098,0.0239586984619146
"wildflower_nc",0.960091693784671,0.0214601994499593
